BS1-001,C,,,,,,,,,,,,,
BS1-002,R,,SEC,,P,promo.cp3,,,,,,,,
BS1-003,SR,,SSR,,,,,,,,,,,
BS1-004,U,,,,,,,,,,,,,
BS1-005,C,,,,,,,,,,,,,
BS1-006,U,,P,promo.cp4,,,,,,,,,,
BS1-007,C,,,,,,,,,,,,,
BS1-008,R,,SEC,,,,,,,,,,,
BS1-009,R,,SEC,,,,,,,,,,,
BS1-010,C,,,,,,,,,,,,,
BS1-011,C,,,,,,,,,,,,,
BS1-012,SR,,SSR,,,,,,,,,,,
BS1-013,C,,,,,,,,,,,,,
BS1-014,UR,,SUR,,,,,,,,,,,
BS1-015,U,,P,promo.cp2,,,,,,,,,,
BS1-016,C,,,,,,,,,,,,,
BS1-017,SR,,SSR,,,,,,,,,,,
BS1-018,U,,,,,,,,,,,,,
BS1-019,C,,,,,,,,,,,,,
BS1-020,C,,,,,,,,,,,,,
BS1-021,C,,,,,,,,,,,,,
BS1-022,R,,P,tournament.party.new,,,,,,,,,,
BS1-023,U,,,,,,,,,,,,,
BS1-024,U,,,,,,,,,,,,,
BS1-025,U,,,,,,,,,,,,,
BS1-026,U,,,,,,,,,,,,,
BS1-027,C,,,,,,,,,,,,,
BS1-028,SR,,SSR,,,,,,,,,,,
BS1-029,U,,,,,,,,,,,,,
BS1-030,C,,P,promo.cp2,,,,,,,,,,
BS1-031,R,,SEC,,,,,,,,,,,
BS1-032,C,,,,,,,,,,,,,
BS1-033,R,,SEC,,,,,,,,,,,
BS1-034,C,,,,,,,,,,,,,
BS1-035,U,,,,,,,,,,,,,
BS1-036,SR,,SSR,,,,,,,,,,,
BS1-037,UR,,SUR,,P,tournament.bl2025s3f.champion,P,tournament.bl2025s3f.runnerup,P,tournament.bl2025s3f.finalist,,,,
BS1-038,U,,,,,,,,,,,,,
BS1-039,U,,,,,,,,,,,,,
BS1-040,R,,SEC,,P,promo.cp3,,,,,,,,
BS1-041,C,,,,,,,,,,,,,
BS1-042,C,,,,,,,,,,,,,
BS1-043,C,,,,,,,,,,,,,
BS1-044,SR,,SSR,,,,,,,,,,,
BS1-045,C,,,,,,,,,,,,,
BS1-046,C,,,,,,,,,,,,,
BS1-047,C,,,,,,,,,,,,,
BS1-048,U,,,,,,,,,,,,,
BS1-049,R,,,,,,,,,,,,,
BS1-050,U,,,,,,,,,,,,,
BS1-051,U,,P,promo.cp4,,,,,,,,,,
BS1-052,U,,P,promo.cp3,,,,,,,,,,
BS1-053,UR,,SUR,,,,,,,,,,,
BS1-054,SR,,SSR,,,,,,,,,,,
BS1-055,U,,P,promo.cp2,,,,,,,,,,
BS1-056,SR,,SSR,,,,,,,,,,,
BS1-057,C,,,,,,,,,,,,,
BS1-058,C,,,,,,,,,,,,,
BS1-059,C,,,,,,,,,,,,,
BS1-060,C,,,,,,,,,,,,,
BS1-061,C,,,,,,,,,,,,,
BS1-062,R,,SEC,,P,promo.cp4,,,,,,,,
BS1-063,C,,,,,,,,,,,,,
BS1-064,C,,,,,,,,,,,,,
BS1-065,C,,,,,,,,,,,,,
BS1-066,SR,,SSR,,P,promo.cp3,,,,,,,,
BS1-067,R,,SEC,,,,,,,,,,,
BS1-068,C,,,,,,,,,,,,,
BS1-069,U,,P,promo.crwf,,,,,,,,,,
BS1-070,U,,P,,,,,,,,,,,
BS1-071,R,,SEC,,,,,,,,,,,
BS1-072,C,,,,,,,,,,,,,
BS1-073,U,,,,,,,,,,,,,
BS1-074,U,,,,,,,,,,,,,
BS1-075,R,,,,,,,,,,,,,
BS1-076,U,,,,,,,,,,,,,
BS1-077,U,,,,,,,,,,,,,
BS1-078,U,,,,,,,,,,,,,
BS2-001,C,,,,,,,,,,,,,
BS2-002,U,,,,,,,,,,,,,
BS2-003,R,,SEC,,,,,,,,,,,
BS2-004,C,,,,,,,,,,,,,
BS2-005,C,,,,,,,,,,,,,
BS2-006,U,,,,,,,,,,,,,
BS2-007,U,,P,promo.cp4,,,,,,,,,,
BS2-008,C,,,,,,,,,,,,,
BS2-009,C,,P,,,,,,,,,,,
BS2-010,C,,,,,,,,,,,,,
BS2-011,R,,SEC,,,,,,,,,,,
BS2-012,U,,P,,,,,,,,,,,
BS2-013,U,,,,,,,,,,,,,
BS2-014,U,,,,,,,,,,,,,
BS2-015,R,,SEC,,,,,,,,,,,
BS2-016,C,,,,,,,,,,,,,
BS2-017,C,,,,,,,,,,,,,
BS2-018,U,,,,,,,,,,,,,
BS2-019,C,,,,,,,,,,,,,
BS2-020,U,,,,,,,,,,,,,
BS2-021,U,,,,,,,,,,,,,
BS2-022,R,,SEC,,,,,,,,,,,
BS2-023,C,,,,,,,,,,,,,
BS2-024,C,,,,,,,,,,,,,
BS2-025,C,,,,,,,,,,,,,
BS2-026,R,,SEC,,,,,,,,,,,
BS2-027,R,,SEC,,,,,,,,,,,
BS2-028,SR,,SSR,,,,,,,,,,,
BS2-029,UR,,SUR,,SUR,tournament.cp,P,tournament.bl2025s4f.champion,P,tournament.bl2025s4f.runnerup,P,tournament.bl2025s4f.finalist,,
BS2-030,C,,,,,,,,,,,,,
BS2-031,SR,,SSR,,,,,,,,,,,
BS2-032,C,,,,,,,,,,,,,
BS2-033,C,,,,,,,,,,,,,
