P-050,鮮奶油魔法,【啟動】 【1回合1次】 <將這個餅乾最上方的1張HP卡放置到棄牌區> 在這個回合中，這個餅乾的攻擊傷害+1點。,[R][R],很軟很舒服~!,1,然後，<你可以支付[R]> <棄1張手牌> 選擇最多1個對手的餅乾。對它造成1點傷害。,
P-079,,,[R][R],去散步吧～散步~!!!,1,然後，<將自己另一個餅乾最上方的1張HP卡放置到棄牌區> 選擇最多1個對手的餅乾。對它造成1點傷害。,
P-080,情緒激昂,【在自己的回合中】 當這個餅乾暈倒時，<將這個餅乾從休息區放置到棄牌區> 選擇最多1個LV.1自己的餅乾。在這個回合中，它的攻擊傷害+1點。,[R][W],咚咚咚！,1,,
P-081,,,[Y],汪！,1,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
P-082,,<[Y][W]> 或 <從棄牌區將1個沒有FLIP效果且剩餘HP為1點的餅乾放置到休息區> 選擇雙方各1個餅乾。它們分別獲得HP+2點。,,,,,
P-083,滿滿肉包,【在自己的回合中】 當這個餅乾暈倒時，<將這個餅乾從休息區放置到棄牌區> 如果對手支援區的牌為7張或更多，從對手的支援區將最多1張牌改為疲勞狀態。,[G][W],吼！,1,,
P-084,,在這個回合中，如果自己的餅乾曾暈倒過，則這張牌的發動所需費用變為[W]。\n<[G]> <將自己戰鬥區的1個餅乾改為疲勞狀態> 選擇最多1個對手的餅乾。對它造成1點傷害。,,,,,
P-085,,,[B],汪汪！,1,,從牌庫抽最多1張牌。
P-086,飢餓地叫,【在自己的回合中】 當這個餅乾暈倒時，<將這個餅乾從休息區放置到棄牌區> 如果對手的手牌為6張或更多，則對手棄1張手牌。,[P][W],咕嚕嚕...,1,,
P-089,,,[G][G][W][W],一起露營吧!,3,,
P-092,,,[B][B][B],甜蜜轟炸!!,3,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
P-093,桃花瓣,【啟動】 【1回合1次】 在這個回合中，如果這個餅乾的HP曾減少過，則選擇最多1個對手的餅乾。對它造成1點傷害。,[R][R][R],投擲匕首,3,,
P-094,,,[Y][Y],檸檬火花,2,然後，<你可以支付[Y]> 如果自己的休息區LV總和達到3或以下，則選擇最多1個對手的餅乾。對它造成1點傷害。,
P-095,野性的眼神,【啟動】 【1回合1次】 如果這個餅乾剩餘HP為4點或以下，且在這個回合中曾發動過道具卡，這個餅乾獲得HP+1點。,[G][G][G],劃穿風的長矛,3,,
