BS11-001,,,[W],,1,,
BS11-002,,【啟動】 【1回合1次】 <[R]> <從手牌棄1張[R]道具卡> 從牌庫抽1張牌，選擇最多1個對手的餅乾。對它造成1點傷害。,[R][R][W],,2,,
BS11-003,,,[R][R][R],,3,,從牌庫抽最多1張牌。
BS11-004,,,[W][W][W],,4,,
BS11-005,,,[R][R],,2,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
BS11-006,,【登場時】 <從手牌棄1張[R]道具卡> 如果自己的戰鬥區有[馬卡龍餅乾]，則對對手的所有餅乾分別造成1點傷害。,[R][R],,2,,
BS11-007,,【啟動】 【1回合1次】 <[R][R]> 對對手的所有餅乾分別造成1點傷害。,[R][R][W],,3,,
BS11-008,,【啟動】 【1回合1次】 <[R]> 選擇最多1個對手的餅乾。對它造成1點傷害。,[R][R],,1,,
BS11-009,,<[R][R][R]> 如果自己有剩餘HP為1點的LV.2或以上餅乾，則選擇最多1個對手的餅乾。對它造成3點傷害。,,,,,
BS11-010,,<[R]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-1點。然後，<[W]> 如果自己的戰鬥區有[火精靈餅乾]或[Ancient]餅乾，則選擇最多1個對手的餅乾。對它造成1點傷害。,,,,,
BS11-011,,<[R]> 將這張牌放置到場景區。\n【啟動】 <[R]> <將這張牌改為疲勞狀態> 在這個回合中，如果自己的餅乾曾暈倒過，則選擇最多1個對手的餅乾。對它造成1點傷害。,,,,,
BS11-012,,<[R][R]> 在這個回合中，如果有2個或更多自己的餅乾曾暈倒過，則選擇最多1個對手的餅乾。對它造成2點傷害。,,,,,
BS11-013,,<[R]> 如果自己有剩餘HP為1點的LV.3餅乾，則選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-3點。,,,,,
BS11-014,,,[R][R],,2,然後，選擇最多1個自己的餅乾。將它最上方的1張HP卡放置到棄牌區。,
BS11-015,,,[R][R][R][R],,4,然後，如果對手的餅乾被這個餅乾攻擊而暈倒，則在這個回合中，對手無法發動【登場時】效果。,
BS11-016,,【啟動】 【1回合1次】 <將自己的[R]餅乾最上方共2張HP卡放置到棄牌區> 對對手的所有餅乾分別造成1點傷害。,[R][R][R],,3,,
BS11-017,,如果這個餅乾剩餘HP為3點或以下，則這個餅乾的攻擊所需費用減少[R] 1點。,[R][W][W],,2,然後，如果自己的戰鬥區有另一個[Ancient]餅乾，則造成2點傷害。,
BS11-018,,【啟動】 【1回合1次】 <使1個自己的[R]餅乾暈倒> 如果自己的手牌為5張或更少，則從牌庫抽最多2張牌。,[R][R][R],,3,然後，<使1個自己的餅乾暈倒> 造成1點傷害。,
