ST8-001,,,[W],微風四重奏,1,,
ST8-002,,,[G][G][G],結實的肌肉!,3,,將這個餅乾移回手牌。
ST8-003,,,[W][W][W],三連劍擊,3,,
ST8-004,,,[G][G][G],入侵警告,3,然後，如果自己的支援區有5張或更多的牌，則從自己的支援區選擇最多1張牌改為活躍狀態。,
ST8-005,守護之風,【啟動】 【1回合1次】 如果自己的手牌為5張或更少，且在這個回合中曾發動過道具卡，則從牌庫抽1張牌。,[G][G][G],追蹤者之箭,3,然後，<從自己的支援區選擇最多2張牌改為疲勞狀態> 選擇最多1個對手的餅乾。對它造成和本次額外改為疲勞狀態張數等量的傷害。,
ST8-006,,,[G][G][G][G],粉碎羅勒,4,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
ST8-007,,,[G][G],發射蘇打箭,2,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
ST8-008,生命創造者,當這個餅乾暈倒時，如果自己支援區的牌比對手少或數量相同，則從自己的牌庫頂將最多1張牌以疲勞狀態放置到支援區。,[G][G][G],閃耀光芒,3,然後， 如果自己的支援區有[風箭手餅乾]，則從牌庫抽1張牌，並棄1張牌。,
ST8-009,,,[G][G][G],釣魚,3,,從牌庫抽最多1張牌。
ST8-010,快速翻滾,當這個餅乾暈倒時，<從自己的支援區將1張道具卡移回手牌> 從自己的牌庫頂將最多1張牌以疲勞狀態放置到支援區。,[G],全世界我們最厲害!,1,,
ST8-011,駕照成功發放!,【阻擋】 <[G]> (當對手的餅乾攻擊時，你可以改為由這個餅乾承受該攻擊。),[G][W],摩托車衝刺,1,,
ST8-012,綠色微風,【啟動】 <將這張牌改為疲勞狀態> 在這個回合中，如果曾發動過道具卡，則選擇最多1個對手的餅乾。對它造成1點傷害。然後，<你可以支付[G]> 選擇最多1個自己的[風箭手餅乾]。它獲得HP+1點。,[G][G],吹起強風,2,,
ST8-013,,<[G]> 從對手的支援區選擇最多1張牌改為疲勞狀態。然後，如果自己的戰鬥區有[風箭手餅乾]，從自己的支援區選擇最多1張牌改為活躍狀態。,,,,,
ST8-014,,<[G]> 如果自己的支援區有5張或更多的牌，則選擇最多1個剩餘HP為3點或以下自己的[G]餅乾。它獲得HP+1點。,,,,,
ST8-015,,<[G][G]> 如果自己的戰鬥區或支援區有[風箭手餅乾]，則從自己的牌庫頂將最多1張牌以疲勞狀態放置到支援區。然後，從自己的支援區將最多1張牌移回手牌。,,,,,
ST8-016,,<[G]> 如果自己的戰鬥區有[風箭手餅乾]，且自己的支援區有5張或更多的牌，則對對手的所有餅乾分別造成1點傷害。,,,,,
ST8-017,,<[G][G]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-2點。然後，如果雙方支援區的牌數量相同，則從牌庫抽最多1張牌。,,,,,
ST8-018,,<[G]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-1點。然後，如果自己的支援區有5張或更多的牌，則它的攻擊傷害再-1點。,,,,,
ST8-019,,<[G][G]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-2點。然後，如果雙方支援區的牌數量相同，則它的攻擊傷害再-1點。,,,,,
ST8-020,,<[G]> 將這張牌放置到場景區。\n在自己的回合結束時，<將這張牌放置到棄牌區> 從自己的支援區選擇最多2張牌改為活躍狀態。,,,,,
