ST8-001,Green,Cookie,_,C,C,1,2,_,_,1,1,,
ST8-002,Green,Cookie,S,C,C,2,4,_,_,3,3,,
ST8-003,Green,Cookie,_,C,C,2,4,_,_,3,3,,
ST8-004,Green,Cookie,_,C,C,3,5,T,_,3,3,,
ST8-005,Green,Cookie,_,SR,C,3,6,AT,_,3,3,5,5
ST8-006,Green,Cookie,H,C,C,3,4,_,_,4,4,,
ST8-007,Green,Cookie,H,C,C,1,1,_,_,2,2,,
ST8-008,Green,Cookie,_,SR,C,2,4,PT,_,3,3,,
ST8-009,Green,Cookie,D,C,C,2,3,_,_,3,3,,
ST8-010,Green,Cookie,_,C,C,1,2,P,_,1,1,,
ST8-011,Green,Cookie,_,C,C,1,3,B,_,2,1,,
ST8-012,Green,Cookie,_,U,C,1,2,A,_,2,2,2,3
ST8-013,Green,Item,_,U,C,_,_,_,_,,,,
ST8-014,Green,Item,_,U,C,_,_,_,_,,,,
ST8-015,Green,Item,_,U,C,_,_,_,_,,,,
ST8-016,Green,Item,_,U,C,_,_,_,_,,,,
ST8-017,Green,Trap,_,U,C,_,_,_,_,,,,
ST8-018,Green,Trap,_,U,C,_,_,_,_,,,,
ST8-019,Green,Trap,_,U,C,_,_,_,_,,,,
ST8-020,Green,Stage,_,U,C,_,_,_,_,,,,
