ST1-001,Red,Cookie,H,C,A,2,2,_,_,2,2,,,,
ST1-002,Red,Cookie,_,C,A,2,2,O,_,2,2,3,3,2,2
ST1-003,Red,Cookie,_,U,A,2,1,A,_,3,2,7,6,,
ST1-004,Red,Cookie,H,C,A,1,1,_,_,1,1,,,,
ST1-005,Red,Cookie,_,U,A,2,3,_,_,1,1,,,,
ST1-006,Red,Cookie,_,C,A,2,4,_,_,2,1,,,,
ST1-007,Red,Cookie,_,C,A,3,3,O,_,2,2,3,3,2,2
ST1-008,Red,Cookie,_,U,A,3,1,A,_,1,1,2,2,,
ST1-009,Red,Cookie,_,SR,A,3,5,PY,_,3,3,3,4,,
ST1-010,Red,Cookie,_,C,A,1,1,a,_,3,2,6,4,,
ST1-011,Red,Cookie,_,C,A,1,2,_,_,1,1,,,,
ST1-012,Red,Cookie,_,C,A,1,3,_,_,2,1,,,,
ST1-013,Red,Cookie,D,C,A,1,1,_,_,1,1,,,,
ST1-014,Red,Cookie,_,SR,A,3,6,_,_,3,3,,,,
ST1-015,Red,Cookie,H,U,A,3,3,_,_,3,3,,,,
ST1-016,Red,Item,_,U,A,_,_,_,_,,,,,,
ST1-017,Red,Item,_,U,A,_,_,_,_,,,,,,
ST1-018,Red,Item,_,U,A,_,_,_,_,,,,,,
ST1-019,Red,Item,_,U,A,_,_,_,_,,,,,,
ST1-020,Red,Trap,_,U,A,_,_,_,_,,,,,,
ST1-021,Red,Trap,_,U,A,_,_,_,_,,,,,,
ST1-022,Red,Stage,_,U,S,_,_,_,_,,,,,,
