ST7-001,Yellow,Cookie,_,C,C,3,5,A,_,3,3,4,5
ST7-002,Yellow,Cookie,_,C,C,1,2,O,_,1,1,,
ST7-003,Yellow,Cookie,H,C,C,3,4,_,_,4,4,,
ST7-004,Yellow,Cookie,_,C,C,1,2,_,_,1,1,,
ST7-005,Yellow,Cookie,H,C,C,1,1,_,_,2,2,,
ST7-006,Yellow,Cookie,D,C,C,2,3,_,_,3,3,,
ST7-007,Yellow,Cookie,S,C,C,2,4,_,_,3,3,,
ST7-008,Yellow,Cookie,_,SR,C,2,4,OT,_,3,3,3,4
ST7-009,Yellow,Cookie,_,C,C,2,4,_,_,3,3,,
ST7-010,Yellow,Cookie,_,SR,C,3,5,AT,_,3,3,,
ST7-011,Yellow,Cookie,_,U,C,1,2,T,_,2,2,,
ST7-012,Yellow,Cookie,_,C,C,1,3,B,_,2,1,,
ST7-013,Yellow,Item,_,U,C,_,_,_,_,,,,
ST7-014,Yellow,Item,_,U,C,_,_,_,_,,,,
ST7-015,Yellow,Item,_,U,C,_,_,_,_,,,,
ST7-016,Yellow,Item,_,U,C,_,_,_,_,,,,
ST7-017,Yellow,Trap,_,U,C,_,_,_,_,,,,
ST7-018,Yellow,Trap,_,U,C,_,_,_,_,,,,
ST7-019,Yellow,Trap,_,U,C,_,_,_,_,,,,
ST7-020,Yellow,Stage,_,U,C,_,_,_,_,,,,
