ST6-001,Red,Cookie,_,C,C,1,2,A,_,1,1,2,2
ST6-002,Red,Cookie,_,SR,C,3,6,AT,_,2,1,3,4
ST6-003,Red,Cookie,_,C,C,2,4,_,_,3,3,,
ST6-004,Red,Cookie,_,SR,C,2,4,AT,Dragon,3,3,4,5
ST6-005,Red,Cookie,H,C,C,1,1,_,_,2,2,,
ST6-006,Red,Cookie,S,C,C,2,4,_,_,3,3,,
ST6-007,Red,Cookie,H,C,C,3,4,_,_,4,4,,
ST6-008,Red,Cookie,D,C,C,2,3,_,_,3,3,,
ST6-009,Red,Cookie,_,C,C,3,5,A,_,4,4,5,5
ST6-010,Red,Cookie,_,C,C,1,3,B,_,2,1,,
ST6-011,Red,Cookie,_,C,C,1,2,_,_,1,1,,
ST6-012,Red,Cookie,_,U,C,1,2,A,_,2,2,,
ST6-013,Red,Item,_,U,C,_,_,_,_,,,,
ST6-014,Red,Item,_,U,C,_,_,_,_,,,,
ST6-015,Red,Item,_,U,C,_,_,_,_,,,,
ST6-016,Red,Item,_,U,C,_,_,_,_,,,,
ST6-017,Red,Trap,_,U,C,_,_,_,_,,,,
ST6-018,Red,Trap,_,U,C,_,_,_,_,,,,
ST6-019,Red,Trap,_,U,C,_,_,_,_,,,,
ST6-020,Red,Stage,_,U,C,_,_,_,_,,,,
