ST9-001,Blue,Cookie,_,C,C,2,4,_,_,3,3,,
ST9-002,Blue,Cookie,_,C,C,1,2,_,_,1,1,,
ST9-003,Blue,Cookie,S,C,C,2,4,_,_,3,3,,
ST9-004,Blue,Cookie,D,C,C,2,3,_,_,3,3,,
ST9-005,Blue,Cookie,_,C,C,1,3,B,_,2,1,,
ST9-006,Blue,Cookie,_,SR,C,3,6,AT,_,3,3,3,5
ST9-007,Blue,Cookie,_,C,C,2,5,A,_,3,2,,
ST9-008,Blue,Cookie,_,C,C,3,5,O,_,3,3,,
ST9-009,Blue,Cookie,_,U,C,1,2,P,_,1,1,,
ST9-010,Blue,Cookie,H,C,C,1,1,_,_,2,2,,
ST9-011,Blue,Cookie,H,C,C,3,4,_,_,4,4,,
ST9-012,Blue,Cookie,_,SR,C,1,2,OT,_,2,2,3,3
ST9-013,Blue,Item,_,U,C,_,_,_,_,,,,
ST9-014,Blue,Item,_,U,C,_,_,_,_,,,,
ST9-015,Blue,Item,_,U,C,_,_,_,_,,,,
ST9-016,Blue,Item,_,U,C,_,_,_,_,,,,
ST9-017,Blue,Trap,_,U,C,_,_,_,_,,,,
ST9-018,Blue,Trap,_,U,C,_,_,_,_,,,,
ST9-019,Blue,Trap,_,U,C,_,_,_,_,,,,
ST9-020,Blue,Stage,_,U,C,_,_,_,_,,,,
