BS5-001,Red,Cookie,_,C,B,1,3,P,_,2,1,2,2,,
BS5-002,Red,Cookie,_,C,B,2,4,_,_,3,3,,,,
BS5-003,Red,Cookie,_,U,B,2,3,T,_,3,3,3,4,,
BS5-004,Red,Cookie,H,C,B,2,2,_,_,2,2,,,,
BS5-005,Red,Cookie,_,SR,B,1,2,A,_,2,2,3,3,,
BS5-006,Red,Cookie,_,C,B,3,5,T,_,4,3,4,4,,
BS5-007,Red,Cookie,_,C,B,1,1,P,_,1,1,1,2,1,1
BS5-008,Red,Cookie,_,C,B,1,1,T,_,1,1,1,2,,
BS5-009,Red,Cookie,D,C,B,3,3,_,_,3,3,,,,
BS5-010,Red,Cookie,_,SR,B,3,5,OT,_,4,4,4,6,4,4
BS5-011,Red,Cookie,_,R,B,2,3,P,_,2,2,3,3,2,2
BS5-012,Red,Cookie,_,C,B,1,2,T,_,2,1,2,2,,
BS5-013,Red,Cookie,_,UR,B,3,5,OT,Dragon,3,3,4,6,4,5
BS5-014,Red,Cookie,_,U,B,2,5,A,_,4,3,4,5,,
BS5-015,Red,Cookie,_,U,B,2,4,O,_,2,1,2,2,2,1
BS5-016,Red,Cookie,_,C,B,1,3,A,_,2,1,2,2,,
BS5-017,Red,Cookie,_,C,B,1,3,_,_,2,1,,,,
BS5-018,Red,Cookie,_,R,B,2,4,O,_,3,3,3,4,3,3
BS5-019,Red,Cookie,_,C,B,2,3,A,_,3,3,4,4,,
BS5-020,Red,Item,_,U,B,_,_,_,_,,,,,,
BS5-021,Red,Trap,_,U,B,_,_,_,_,,,,,,
BS5-022,Red,Stage,_,U,B,_,_,_,_,,,,,,
BS5-023,Yellow,Cookie,_,SR,B,2,5,AT,_,3,2,3,4,,
BS5-024,Yellow,Cookie,_,C,B,1,1,T,_,2,1,2,2,,
BS5-025,Yellow,Cookie,_,C,B,1,2,T,_,2,2,,,,
BS5-026,Yellow,Cookie,_,U,B,2,2,P,_,3,2,,,,
BS5-027,Yellow,Cookie,_,C,B,1,2,_,_,1,1,,,,
BS5-028,Yellow,Cookie,_,SR,B,1,2,O,_,1,1,2,3,1,1
BS5-029,Yellow,Cookie,_,C,B,2,3,O,_,2,2,,,,
BS5-030,Yellow,Cookie,_,C,B,1,1,T,_,2,1,,,,
BS5-031,Yellow,Cookie,_,C,B,1,1,O,_,2,1,,,,
BS5-032,Yellow,Cookie,_,U,B,2,4,T,_,3,2,3,3,,
BS5-033,Yellow,Cookie,_,C,B,2,3,_,_,2,2,,,,
BS5-034,Yellow,Cookie,_,C,B,1,3,A,_,2,1,2,2,,
BS5-035,Yellow,Cookie,_,U,B,3,4,T,_,3,3,3,4,,
BS5-036,Yellow,Cookie,_,R,B,1,3,a,_,2,1,,,,
BS5-037,Yellow,Cookie,_,C,B,1,3,O,_,2,1,2,2,2,1
BS5-038,Yellow,Cookie,D,C,B,1,1,_,_,1,1,,,,
BS5-039,Yellow,Cookie,_,R,B,2,3,O,_,2,2,2,3,2,2
BS5-040,Yellow,Cookie,_,UR,B,3,5,AT,Dragon,3,3,3,4,,
BS5-041,Yellow,Cookie,H,C,B,3,3,_,_,3,3,,,,
BS5-042,Yellow,Item,_,U,B,_,_,_,_,,,,,,
BS5-043,Yellow,Trap,_,U,B,_,_,_,_,,,,,,
BS5-044,Yellow,Stage,_,U,B,_,_,_,_,,,,,,
BS5-045,Green,Cookie,_,U,B,1,1,O,_,1,1,,,,
BS5-046,Green,Cookie,H,C,B,3,3,_,_,3,3,,,,
BS5-047,Green,Cookie,_,C,B,2,4,P,_,2,1,,,,
BS5-048,Green,Cookie,_,R,B,1,3,a,_,2,1,,,,
BS5-049,Green,Cookie,D,C,B,2,2,_,_,2,2,,,,
BS5-050,Green,Cookie,_,C,B,2,3,_,_,1,1,,,,
BS5-051,Green,Cookie,_,C,B,1,2,P,_,2,1,,,,
BS5-052,Green,Cookie,_,C,B,1,3,O,_,2,1,,,,
BS5-053,Green,Cookie,_,SR,B,2,4,O,_,4,3,,,,
BS5-054,Green,Cookie,_,UR,B,2,4,B,_,3,3,,,,
BS5-055,Green,Cookie,_,C,B,1,2,O,_,1,1,1,2,1,1
BS5-056,Green,Cookie,_,UR,B,3,5,PT,Dragon,3,2,4,4,,
BS5-057,Green,Cookie,_,C,B,1,3,A,_,2,1,,,,
BS5-058,Green,Cookie,_,R,B,1,2,P,_,1,1,,,,
BS5-059,Green,Cookie,_,SR,B,3,5,OT,_,3,3,3,5,3,3
BS5-060,Green,Cookie,_,U,B,2,4,T,_,3,2,,,,
BS5-061,Green,Cookie,_,C,B,2,2,P,_,2,2,,,,
BS5-062,Green,Cookie,_,C,B,2,2,_,_,2,3,,,,
BS5-063,Green,Cookie,_,U,B,3,5,P,_,3,3,,,,
BS5-064,Green,Item,_,U,B,_,_,_,_,,,,,,
BS5-065,Green,Trap,_,U,B,_,_,_,_,,,,,,
BS5-066,Green,Stage,_,U,B,_,_,_,_,,,,,,
BS5-067,Blue,Cookie,_,C,B,2,3,T,_,1,1,,,,
BS5-068,Blue,Cookie,_,U,B,1,2,P,_,1,1,,,,
BS5-069,Blue,Cookie,_,SR,B,1,2,P,_,2,2,2,3,,
BS5-070,Blue,Cookie,_,U,B,2,3,O,_,2,2,,,,
BS5-071,Blue,Cookie,_,UR,B,3,5,AT,Dragon,3,2,3,4,,
BS5-072,Blue,Cookie,_,C,B,2,2,P,_,2,2,,,,
BS5-073,Blue,Cookie,D,C,B,2,2,_,_,2,2,,,,
BS5-074,Blue,Cookie,_,U,B,2,4,O,_,3,3,,,,
BS5-075,Blue,Cookie,_,SR,B,2,4,O,_,3,3,3,5,3,3
BS5-076,Blue,Cookie,_,R,B,1,3,a,_,2,1,,,,
BS5-077,Blue,Cookie,_,C,B,2,3,_,_,1,1,,,,
BS5-078,Blue,Cookie,_,C,B,1,3,O,_,2,1,,,,
BS5-079,Blue,Cookie,_,C,B,1,2,_,_,2,2,,,,
BS5-080,Blue,Cookie,_,R,B,1,2,T,_,2,2,2,3,,
BS5-081,Blue,Cookie,_,C,B,1,3,B,_,2,1,,,,
BS5-082,Blue,Cookie,H,C,B,3,3,_,_,3,3,,,,
BS5-083,Blue,Cookie,_,C,B,2,4,O,_,3,2,,,,
BS5-084,Blue,Cookie,_,C,B,2,3,a,_,2,2,,,,
BS5-085,Blue,Cookie,_,C,B,3,4,T,_,3,2,,,,
BS5-086,Blue,Item,_,U,B,_,_,_,_,,,,,,
BS5-087,Blue,Trap,_,U,B,_,_,_,_,,,,,,
BS5-088,Blue,Stage,_,U,B,_,_,_,_,,,,,,
BS5-089,Purple,Cookie,_,R,B,1,2,T,_,2,2,,,,
BS5-090,Purple,Cookie,D,C,B,2,2,_,_,2,2,,,,
BS5-091,Purple,Cookie,_,SR,B,2,4,O,_,3,3,3,5,3,3
BS5-092,Purple,Cookie,_,UR,B,2,4,B,_,3,3,,,,
BS5-093,Purple,Cookie,_,UR,B,3,5,A,Dragon,3,3,4,4,,
BS5-094,Purple,Cookie,_,C,B,2,2,T,_,2,2,2,3,,
BS5-095,Purple,Cookie,H,C,B,3,3,_,_,3,3,,,,
BS5-096,Purple,Cookie,_,C,B,2,2,_,_,2,3,,,,
BS5-097,Purple,Cookie,_,U,B,3,4,T,_,3,4,,,,
BS5-098,Purple,Cookie,_,U,B,1,3,PT,_,2,1,,,,
BS5-099,Purple,Cookie,_,C,B,2,2,T,_,2,2,,,,
BS5-100,Purple,Cookie,_,SR,B,1,2,P,_,2,2,,,,
BS5-101,Purple,Cookie,_,U,B,2,4,O,_,3,2,3,3,3,2
BS5-102,Purple,Cookie,_,C,B,2,3,O,_,2,2,,,,
BS5-103,Purple,Cookie,_,R,B,3,5,P,_,3,3,3,6,,
BS5-104,Purple,Cookie,_,C,B,1,2,O,_,1,1,,,,
BS5-105,Purple,Cookie,_,C,B,1,3,_,_,2,1,,,,
BS5-106,Purple,Cookie,_,C,B,1,2,T,_,3,1,,,,
BS5-107,Purple,Cookie,_,C,B,1,1,P,_,1,1,,,,
BS5-108,Purple,Item,_,U,B,_,_,_,_,,,,,,
BS5-109,Purple,Trap,_,U,B,_,_,_,_,,,,,,
BS5-110,Purple,Stage,_,U,B,_,_,_,_,,,,,,
BS5-111,Pure,Item,_,UR,B,_,_,_,_,,,,,,
