ST10-001,Purple,Cookie,_,C,C,,,_,_
ST10-002,Purple,Cookie,_,C,C,,,_,_
ST10-003,Purple,Cookie,_,C,C,,,_,_
ST10-004,Purple,Cookie,_,C,C,,,_,_
ST10-005,Purple,Cookie,_,SR,C,,,_,_
ST10-006,Purple,Cookie,_,C,C,,,_,_
ST10-007,Purple,Cookie,_,C,C,,,_,_
ST10-008,Purple,Cookie,_,SR,C,,,_,_
ST10-009,Purple,Cookie,_,C,C,,,_,_
ST10-010,Purple,Cookie,_,C,C,,,_,_
ST10-011,Purple,Cookie,_,C,C,,,_,_
ST10-012,Purple,Cookie,_,U,C,,,_,_
ST10-013,Purple,Item,_,U,C,_,_,_,_
ST10-014,Purple,Item,_,U,C,_,_,_,_
ST10-015,Purple,Item,_,U,C,_,_,_,_
ST10-016,Purple,Item,_,U,C,_,_,_,_
ST10-017,Purple,Trap,_,U,C,_,_,_,_
ST10-018,Purple,Trap,_,U,C,_,_,_,_
ST10-019,Purple,Trap,_,U,C,_,_,_,_
ST10-020,Purple,Stage,_,U,C,_,_,_,_
