ST4-001,Blue,Cookie,_,U,A,2,3,_,_,1,1,,
ST4-002,Blue,Cookie,_,C,A,1,3,_,_,2,1,,
ST4-003,Blue,Cookie,H,U,A,3,3,_,_,3,3,,
ST4-004,Blue,Cookie,_,SR,A,3,5,A,_,3,3,6,6
ST4-005,Blue,Cookie,_,C,A,2,4,_,_,2,1,,
ST4-006,Blue,Cookie,H,C,A,1,1,_,_,1,1,,
ST4-007,Blue,Cookie,_,C,A,1,3,A,_,2,1,,
ST4-008,Blue,Cookie,_,U,A,2,3,O,_,1,1,,
ST4-009,Blue,Cookie,H,C,A,2,2,_,_,2,2,,
ST4-010,Blue,Cookie,_,C,A,1,1,P,_,1,1,,
ST4-011,Blue,Cookie,_,C,A,1,2,_,_,1,1,,
ST4-012,Blue,Cookie,_,U,A,3,4,A,_,2,2,2,3
ST4-013,Blue,Cookie,_,SR,A,2,3,OT,_,1,1,1,2
ST4-014,Blue,Cookie,D,C,A,1,1,_,_,1,1,,
ST4-015,Blue,Cookie,_,C,A,2,2,T,_,2,2,,
ST4-016,Blue,Item,_,U,A,_,,_,_,,,,
ST4-017,Blue,Item,_,U,A,_,,_,_,,,,
ST4-018,Blue,Item,_,U,A,_,,_,_,,,,
ST4-019,Blue,Item,_,U,A,_,,_,_,,,,
ST4-020,Blue,Trap,_,U,A,_,,_,_,,,,
ST4-021,Blue,Trap,_,U,A,_,,_,_,,,,
ST4-022,Blue,Stage,_,U,A,_,,_,_,,,,
